epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,17045,0.79497,1.60155,1.1291,0.86321,0.78989,0.89312,0.70881,0.76063,1.89274,1.13801,0.000710234,0.000236745,0.000710234,0.000236745,0.000710234,0.000236745,0.000710234,0.000236745
31,17599.5,0.77487,1.55053,1.1114,0.83922,0.832,0.90232,0.72005,0.76312,1.8426,1.14578,0.000677208,0.000225736,0.000677208,0.000225736,0.000677208,0.000225736,0.000677208,0.000225736
32,18153.4,0.79196,1.55222,1.12867,0.86559,0.81231,0.90449,0.72049,0.75687,1.81847,1.13845,0.000644182,0.000214727,0.000644182,0.000214727,0.000644182,0.000214727,0.000644182,0.000214727
33,18711.4,0.77658,1.54261,1.11539,0.81122,0.83311,0.89088,0.70921,0.75697,1.8539,1.14101,0.000611155,0.000203718,0.000611155,0.000203718,0.000611155,0.000203718,0.000611155,0.000203718
34,19271.2,0.77271,1.51865,1.12391,0.82844,0.84124,0.90021,0.71893,0.75427,1.82449,1.13564,0.000578129,0.00019271,0.000578129,0.00019271,0.000578129,0.00019271,0.000578129,0.00019271
35,19824.2,0.75375,1.49455,1.11238,0.82004,0.86062,0.90277,0.72241,0.75129,1.78505,1.1326,0.000545102,0.000181701,0.000545102,0.000181701,0.000545102,0.000181701,0.000545102,0.000181701
36,20369.6,0.76558,1.48222,1.10458,0.82134,0.86072,0.90171,0.71931,0.75209,1.80542,1.12947,0.000512076,0.000170692,0.000512076,0.000170692,0.000512076,0.000170692,0.000512076,0.000170692
37,20921.1,0.76832,1.47923,1.11424,0.81978,0.85619,0.89705,0.71838,0.7473,1.80542,1.12675,0.00047905,0.000159683,0.00047905,0.000159683,0.00047905,0.000159683,0.00047905,0.000159683
38,21479.9,0.7562,1.45427,1.10585,0.81709,0.86637,0.90579,0.7228,0.74677,1.76663,1.13034,0.000446023,0.000148674,0.000446023,0.000148674,0.000446023,0.000148674,0.000446023,0.000148674
39,22034.2,0.76752,1.47338,1.11057,0.86344,0.83795,0.91028,0.72639,0.74689,1.78214,1.13594,0.000412997,0.000137666,0.000412997,0.000137666,0.000412997,0.000137666,0.000412997,0.000137666
40,22591.3,0.75559,1.46077,1.10371,0.85428,0.82889,0.90133,0.7161,0.75567,1.7924,1.13829,0.00037997,0.000126657,0.00037997,0.000126657,0.00037997,0.000126657,0.00037997,0.000126657
41,23142.2,0.65648,1.6861,1.08119,0.82604,0.85922,0.90161,0.71933,0.75019,1.85761,1.1339,0.000346944,0.000115648,0.000346944,0.000115648,0.000346944,0.000115648,0.000346944,0.000115648
42,23698.9,0.64335,1.6484,1.06266,0.82876,0.85359,0.90099,0.72045,0.74327,1.79379,1.1287,0.000313918,0.000104639,0.000313918,0.000104639,0.000313918,0.000104639,0.000313918,0.000104639
43,24249.7,0.64207,1.61086,1.06794,0.84613,0.85683,0.90372,0.72416,0.74808,1.77907,1.12979,0.000280891,9.36304e-05,0.000280891,9.36304e-05,0.000280891,9.36304e-05,0.000280891,9.36304e-05
44,24799.3,0.6444,1.5665,1.07679,0.84322,0.86424,0.90509,0.72081,0.74455,1.77604,1.12767,0.000247865,8.26216e-05,0.000247865,8.26216e-05,0.000247865,8.26216e-05,0.000247865,8.26216e-05
45,25364,0.63575,1.58832,1.07048,0.81265,0.89149,0.90502,0.72336,0.74588,1.77783,1.12961,0.000214838,7.16128e-05,0.000214838,7.16128e-05,0.000214838,7.16128e-05,0.000214838,7.16128e-05
46,25922.8,0.63295,1.57214,1.06941,0.83499,0.87373,0.90663,0.72566,0.74589,1.77397,1.13016,0.000181812,6.0604e-05,0.000181812,6.0604e-05,0.000181812,6.0604e-05,0.000181812,6.0604e-05
47,26482.9,0.63274,1.56423,1.06468,0.86097,0.84288,0.9099,0.72534,0.74446,1.76087,1.13051,0.000148786,4.95952e-05,0.000148786,4.95952e-05,0.000148786,4.95952e-05,0.000148786,4.95952e-05
48,27033,0.61665,1.54477,1.05999,0.86496,0.84501,0.90583,0.72485,0.74853,1.77352,1.13111,0.000115759,3.85864e-05,0.000115759,3.85864e-05,0.000115759,3.85864e-05,0.000115759,3.85864e-05
49,27580.8,0.61974,1.55757,1.05304,0.85016,0.84976,0.90751,0.72499,0.74375,1.76312,1.13146,8.27328e-05,2.75776e-05,8.27328e-05,2.75776e-05,8.27328e-05,2.75776e-05,8.27328e-05,2.75776e-05
50,28127.5,0.61098,1.54408,1.04435,0.85349,0.84586,0.90864,0.72718,0.74409,1.75981,1.13058,4.97064e-05,1.65688e-05,4.97064e-05,1.65688e-05,4.97064e-05,1.65688e-05,4.97064e-05,1.65688e-05
